Cluster ID,confidence_score,id,name,canonical_id,canonical_name
292,,1,Hisashi Suzuki,,
293,,10,David Brady,,
294,,100,Santosh S. Venkatesh,,
295,,1000,Charles Fefferman,,
296,,1001,Scott Markel,,
297,,1002,Gregory J. Wolff,,
298,,1003,Timothy W. Cacciatore,,
299,,1004,Paul Sajda,,
0,0.187044,1005,Leif H. Finkel,b'1005',b'leif h. finkel'
300,,1006,Arun K. Jagota,,
301,,1007,Asriel U. Levin,,
302,,1008,Richard Coggins,,
303,,1009,Mitchell Gil Maltenfort,,
304,,101,Fernando J. Pineda,,
305,,1010,Robert E. Druzinsky,,
306,,1011,C. J. Heckman,,
307,,1012,W. Zev Rymer,,
308,,1014,Catherine Stevens,,
309,,1015,Jacob Engelbrecht,,
310,,1016,Mark Plutowski,,
311,,1017,Shinichi Sakata,,
312,,1018,Halbert White,,
313,,1019,Tommi Jaakkola,,
314,,102,James C. Houk,,
315,,1020,Zoubin Ghahramani,,
316,,1021,Eric Boussard,,
317,,1022,Jean-Fran?ois Vibert,,
318,,1023,Justin A. Boyan,,
319,,1025,Reinhard Blasig,,
320,,1026,Anthony C. C. Coolen,,
321,,1027,R. W. Penney,,
322,,1028,D. Sherrington,,
323,,1029,Brooks Bishofberger,,
324,,103,Andreas Stafylopatis,,
325,,1030,Michael S. Lewicki,,
326,,1031,Eric Cosatto,,
327,,1032,Richard H. Lathrop,,
328,,1033,Tom?s Lozano-P?rez,,
329,,1034,Peter F. Rowat,,
330,,1035,Reza Shadmehr,,
331,,1036,Ferdinando A. Mussa-Ivaldi,,
332,,1037,Stefan Schaal,,
333,,1038,Daniel J. Rosen,,
334,,1039,Eric I. Knudsen,,
335,,104,Marios D. Dikaiakos,,
336,,1040,Audrey L. Guzik,,
337,,1041,Robert C. Eaton,,
338,,1042,Nicholas S. Flann,,
339,,1044,Robert M. French,,
340,,1045,Laurens R. Leerink,,
341,,1046,Corinna Cortes,,
1,0.147705,1047,Xin Wang,b'1047',b'xin wang'
342,,1048,Qingnan Li,,
343,,1049,Edward K. Blum,,
344,,105,D. Kontoravdis,,
345,,1050,Ralph Neuneier,,
346,,1051,Stelios M. Smirnakis,,
347,,1052,Steven S. Watkins,,
348,,1053,Paul M. Chau,,
349,,1054,Raoul Tawel,,
350,,1055,Bjorn Lambrigtsen,,
351,,1056,Thomas R. Shultz,,
352,,1057,Jeffrey L. Elman,,
353,,1058,Thomas H. Hildebrandt,,
354,,1059,Christoph Bregler,,
355,,106,Jehoshua Bruck,,
356,,1060,Ali H. Sayed,,
357,,1061,Changfeng Wang,,
358,,1063,Vladimir Cherkassky,,
359,,1064,Olvi L. Mangasarian,,
360,,1066,Bill G. Horne,,
361,,1067,Don R. Hush,,
362,,1068,Richard T. J. Bostock,,
363,,1069,Alan J. Harget,,
364,,107,Joseph W. Goodman,,
365,,1070,Iris Ginzburg,,
366,,1071,Nanda Kambhatla,,
367,,1072,Richard O. Duda,,
368,,1073,Joachim Diederich,,
369,,1074,Bruno A. Olshausen,,
370,,1075,Yasuhiro Wada,,
371,,1076,Melanie Mitchell,,
372,,1077,John H. Holland,,
373,,1078,Stephanie Forrest,,
374,,1079,Steven Gold,,
375,,108,William Baxter,,
376,,1080,Anand Rangarajan,,
377,,1081,Oded Maron,,
378,,1082,K? Sakai,,
379,,1083,Roderic A. Grupen,,
380,,1085,Kenneth M. Buckland,,
381,,1086,Peter D. Lawrence,,
382,,1087,Mike Hochberg,,
383,,1088,Anthony J. Robinson,,
384,,1089,Thea B. Ghiselli-Crippa,,
385,,109,Bruce Dow,,
386,,1090,Yehuda Salu,,
387,,1091,Haim Sompolinsky,,
388,,1094,Ralph Wolf,,
389,,1095,Arlindo L. Oliveira,,
390,,1096,K. Venkatesh Prasad,,
391,,1098,Alessandro Sperduti,,
392,,1099,Kevin R. Farrell,,
393,,11,Demetri Psaltis,,
394,,110,Mark Derthick,,
395,,1100,Richard J. Mammone,,
396,,1101,Jonathan L. Shapiro,,
397,,1102,Adam Pr?gel-Bennett,,
398,,1103,Shumeet Baluja,,
399,,1104,Michael Murray,,
400,,1105,Ming-Tak Leung,,
401,,1106,Kan Boonyanit,,
402,,1107,Kong Kritayakirana,,
403,,1108,James B. Burg,,
404,,1109,Tokahiro Watanabe,,
405,,111,Joe Tebelskis,,
2,0.228641,1112,Michael O. Duff,b'1112',b'michael o. duff'
406,,1113,Chien-Ping Lu,,
407,,1114,G. T. Buracas,,
408,,1115,T. D. Albright,,
409,,1116,Lynne Kiorpes,,
410,,1117,Gary G. Blasdel,,
411,,1118,Didier Keymeulen,,
412,,1119,Martine de Gerlache,,
413,,112,Guo-Zheng Sun,,
414,,1120,Gary William Flake,,
415,,1122,Charles A. Micchelli,,
416,,1123,Martin Lades,,
417,,1124,Saeed Hadjifaradji,,
418,,1125,Yuriko Oshima-Takane,,
419,,1126,Yoshio Takane,,
420,,1128,David Price,,
421,,1129,Stefan Knerr,,
3,0.875515401363,113,Yee-Chun Lee,b'113',b'yee-chun lee'
422,,1130,Ki-Chul Kim,,
423,,1131,Hwang-Soo Lee,,
424,,1132,Anton Schwartz,,
425,,1133,James J. Knierim,,
426,,1134,Hemant S. Kudrimoti,,
427,,1135,Svilen Tzonev,,
428,,1136,Joseph G. Malpeli,,
429,,1137,Sidney Fels,,
430,,1138,David A. Nix,,
431,,1139,Stefan Heil,,
432,,114,Hsing-Hen Chen,,
433,,1140,Humbert Suarez,,
434,,1141,Sepp Hochreiter,,
435,,1142,Kah Kay Sung,,
436,,1143,Partha Niyogi,,
437,,1144,Gustavo Deco,,
438,,1145,Wilfried Brauer,,
439,,1146,James A. Reggia,,
440,,1147,Bradley A. Minch,,
441,,1148,Paul E. Hasler,,
442,,1149,Chris Diorio,,
443,,115,Richard M. Golden,,
444,,1150,Stefan Manke,,
445,,1151,Michael Finke,,
446,,1152,Daniel M. Wolpert,,
447,,1153,Satoshi Suzuki,,
448,,1154,Hiroshi Ando,,
449,,1155,Herman L. Ferr?,,
450,,1158,Jay A. Alexander,,
451,,1159,Robert H. Crites,,
452,,116,W. Scott Stornetta,,
453,,1160,Leon N. Cooper,,
454,,1161,Horst Bischof,,
455,,1162,Kurt Hornik,,
4,0.875515,1163,Rajesh P. N. Rao,b'1163',b'rajesh p. n. rao'
456,,1164,Cedric Deffayet,,
457,,1165,Jason J. Sroka,,
458,,1166,Sayandev Mukherjee,,
5,0.34519,1167,Andrew McCallum,b'1167',b'andrew mccallum'
459,,1168,Rainer Malaka,,
460,,1169,Thomas Ragg,,
461,,117,Tad Hogg,,
462,,1170,Martin Hammer,,
463,,1171,Christopher M. Bishop,,
464,,1172,Claire Legleye,,
465,,1173,Trevor Hastie,,
466,,1174,Naonori Ueda,,
467,,1175,Ryohei Nakano,,
468,,1176,Fu-Sheng Tsung,,
469,,1177,DeLiang L. Wang,,
470,,1178,David Terman,,
471,,1179,Michael R. Berthold,,
472,,118,Bernardo A. Huberman,,
473,,1180,Jay Diamond,,
474,,1181,Usama M. Fayyad,,
475,,1182,Michael C. Burl,,
476,,1183,Pietro Perona,,
477,,1184,Glenn Marion,,
478,,1185,David Saad,,
6,0.779123,1186,Kalanit Grill Spector,b'1186',b'kalanit grill spector'
479,,1187,Rafael Malach,,
7,0.144057,1188,Joshua B. Tenenbaum,b'1188',b'joshua b. tenenbaum'
8,0.34519,1189,Emanuel Todorov,b'1189',b'emanuel todorov'
480,,119,Seho Oh,,
481,,1190,Linda Kukolich,,
482,,1191,David Shahian,,
483,,1192,James Edward Steck,,
484,,1193,Steven R. Skinner,,
485,,1194,Alvaro A. Cruz-Cabrara,,
486,,1195,Elizabeth C. Behrman,,
487,,1196,Rich Caruana,,
488,,1197,Steve R. Waterhouse,,
489,,1198,Holger Schwenk,,
490,,1199,Maurice Milgram,,
9,0.269411,12,Frank H. Eeckman,b'12',b'frank h. eeckman'
491,,120,James A. Ritcey,,
492,,1200,Peter Sollich,,
493,,1201,Lawrence K. Saul,,
494,,1202,Ke Liu,,
495,,1203,Robert L. Tokar,,
496,,1204,Brain D. McVey,,
497,,1205,Bruce Graham,,
498,,1206,David J. Willshaw,,
499,,1207,Minoru Asogawa,,
500,,1208,Michael J. Turmon,,
501,,1209,Michiaki Taniguchi,,
10,0.34519,121,Geoffrey E. Hinton,b'121',b'geoffrey e. hinton'
502,,1210,Tom Brashers-Krug,,
503,,1211,J?rg Bruske,,
504,,1212,Gerald Sommer,,
505,,1213,N. Barkai,,
506,,1214,Suguna Pappu,,
507,,1215,Malcolm Slaney,,
508,,1216,Peter T. Szymanski,,
509,,1217,Jim Bergen,,
510,,1218,Donald W. Mathis,,
511,,1219,Michiro Negishi,,
512,,122,James L. McClelland,,
513,,1220,Morten With Pedersen,,
514,,1221,Lars Kai Hansen,,
515,,1222,Toru Ohira,,
516,,1223,Teresa Serrano-Gotarredona,,
517,,1224,Bernab? Linares-Barranco,,
518,,1225,Jos? Luis Huertas,,
519,,1226,V. Sundareswaran,,
520,,1227,Lucia M. Vaina,,
521,,1228,Irfan A. Essa,,
522,,1229,J?rg Kindermann,,
523,,123,Richard C. Windecker,,
524,,1230,Jesper Vedelsby,,
525,,1231,A. J. Holmes,,
526,,1232,J. Hajto,,
527,,1233,M. J. Rose,,
528,,1234,Joseph Sirosh,,
529,,1235,Risto Miikkulainen,,
530,,1236,Dawei W. Dong,,
531,,1237,Cesare Furlanello,,
532,,1238,Diego Giuliani,,
533,,1239,Edmondo Trentin,,
534,,124,Joshua Alspector,,
535,,1240,E. Erwin,,
536,,1241,Magnus Stensmo,,
537,,1242,Todd S. Braver,,
538,,1243,Steve Lawrence,,
539,,1244,Andrew D. Back,,
540,,1245,Dimitris I. Tsioutsias,,
541,,1246,Ehud Zohary,,
542,,1247,Leslie S. Smith,,
543,,1248,Alexander Grunewald,,
544,,1249,Susan L. McCabe,,
545,,125,Robert B. Allen,,
546,,1250,Michael J. Denham,,
547,,1251,Peter Auer,,
548,,1252,Mark Herbster,,
549,,1253,Manfred K. Warmuth,,
13,0.875515,1254,Carl Edward Rasmussen,b'1254',b'carl edward rasmussen'
550,,1255,Tsutomu Nakai,,
551,,1256,Tatsuo Morimoto,,
552,,1257,Ryu Kaihara,,
553,,1258,Hiroyuki Nakahara,,
554,,1259,Ralph Etienne-Cummings,,
555,,126,Victor Hu,,
556,,1260,James W. Howse,,
557,,1261,Chaouki T. Abdallah,,
558,,1262,Gregory L. Heileman,,
559,,1263,Dirk Ormoneit,,
560,,1264,Anke Meyer-B?se,,
561,,1265,Benjamin Van Roy,,
562,,1266,John N. Tsitsiklis,,
563,,1267,Dan J. Kershaw,,
564,,1268,Amir A. Handzel,,
565,,1269,Philip N. Sabes,,
566,,127,Srinagesh Satyanarayana,,
567,,1270,Ssu-Hsin Yu,,
568,,1271,Anuradha M. Annaswamy,,
569,,1272,R. Timothy Edwards,,
570,,1273,Ethem Alpaydin,,
571,,1274,S. N. Laughton,,
572,,1275,Pascal Koiran,,
573,,1276,Rasmus S. Petersen,,
574,,1277,John G. Taylor,,
575,,1278,Yishay Mansour,,
576,,1279,Sigal Sahar,,
577,,128,Harry Wechsler,,
14,0.269411,1280,Andrew W. Senior,b'1280',b'andrew w. senior'
578,,1281,Charles F. Stevens,,
579,,1282,Klaus-Robert M?ller,,
580,,1283,Howard Hua Yang,,
581,,1284,Stefan M. R?ger,,
582,,1285,Marina Meila,,
583,,1286,Tong Xu,,
584,,1287,Vasken Bohossian,,
585,,1288,Krste Asanovic,,
586,,1289,Brian Kingsbury,,
587,,129,George Lee Zimmerman,,
588,,1290,David Johnson,,
589,,1291,Luiz Pessoa,,
590,,1292,William D. Ross,,
591,,1293,Christopher L. Fry,,
592,,1294,Andrea Drees,,
593,,1295,Bambang Parmanto,,
594,,1296,Howard R. Doyle,,
595,,1297,Jeffrey C. Jackson,,
596,,1298,Mark Craven,,
597,,1299,Angelo Marcantonio,,
598,,13,Amir F. Atiya,,
599,,130,Lyle J. Borg-Graham,,
600,,1300,N. Iwan Santoso,,
601,,1301,A. David Redish,,
602,,1302,Lucas C. Parra,,
603,,1303,Soren Kamaric Riis,,
604,,1304,Alistair Ferguson,,
605,,1305,Theo Sabisch,,
606,,1306,Paul Kaye,,
607,,1307,Laurence C. Dixon,,
608,,1308,Hamid Bolouri,,
609,,1309,Jacek Szymanski,,
610,,131,J. Bernasconi,,
611,,1310,Scott Makeig,,
